Degree Level,Major,Employer,Job Location
B,Computer Science,Philips Healthcare,WA
B,Computer Science,Redfin,WA
B,Computer Science,Salesforce.com,WA
B,Computer Science,Ubiquity Publishing,England
B,Computer Science,"Yapta, Inc",WA
B,Computer Science,Yodle,NY
D,Computer Science,eScience Institute,WA
D,Computer Science,Google,WA
D,Computer Science,Google,WA
D,Computer Science,Microsoft,WA
M,Computer Science,Amazon,WA
M,Computer Science,Facebook,WA
M,Computer Science,Google,WA
M,Computer Science,Google,WA
M,Computer Science,Google,WA
M,Computer Science,Microsoft,WA
M,Computer Science,Paperless Business Systems,WA
B,Electrical Engineering,Aerojet,WA
B,Electrical Engineering,Boeing,WA
B,Electrical Engineering,Boeing,WA
B,Electrical Engineering,"Cequint, Inc.",WA
B,Electrical Engineering,Electroimpact,WA
B,Electrical Engineering,Fluke Networks,WA
B,Electrical Engineering,Hewlett-Packard,WA
B,Electrical Engineering,Intel,OR
B,Electrical Engineering,Intel,WA
B,Electrical Engineering,Jawbone,WA
B,Electrical Engineering,MAQ Software,WA
B,Electrical Engineering,Philips Healthcare,WA
B,Electrical Engineering,Seattle City Light,WA
B,Electrical Engineering,Seattle City Light,WA
B,Electrical Engineering,T-Mobile,WA
B,Electrical Engineering,T-Mobile,WA
B,Electrical Engineering,T-Mobile,WA
B,Electrical Engineering,T-Mobile,WA
B,Electrical Engineering,University of Washington,WA
D,Electrical Engineering,University of Washington,WA
M,Electrical Engineering,Alstom grid,WA
M,Electrical Engineering,Boeing,WA
M,Electrical Engineering,Boeing,WA
M,Electrical Engineering,Boeing,WA
M,Electrical Engineering,Cypress Semiconductor,WA
M,Electrical Engineering,Sandia National Laboratories,NM
M,Electrical Engineering,Synapse Product Development,CA
M,Electrical Engineering,U.S. Navy,WA
B,Human Centered Design & Engineering,Four Seasons Hotel,WA
B,Human Centered Design & Engineering,Hive6,WA
B,Human Centered Design & Engineering,Microsoft,NC
B,Human Centered Design & Engineering,Microsoft,WA
B,Human Centered Design & Engineering,University of Washington,WA
D,Human Centered Design & Engineering,University of New Mexico,NM
M,Human Centered Design & Engineering,ADGi,WA
M,Human Centered Design & Engineering,Amazon,CA
M,Human Centered Design & Engineering,Athenahealth,MA
M,Human Centered Design & Engineering,Avanade,WA
M,Human Centered Design & Engineering,Avanade,WA
M,Human Centered Design & Engineering,Blink Interactive,WA
M,Human Centered Design & Engineering,Ciber,WA
M,Human Centered Design & Engineering,Deloitte Consulting,GA
M,Human Centered Design & Engineering,IBM,CA
M,Human Centered Design & Engineering,University of Washington,WA
M,Human Centered Design & Engineering,University of Washington,WA
M,Human Centered Design & Engineering,University of Washington (Foster School of Business),WA
B,Industrial & Systems Engineering,Boeing,WA
B,Industrial & Systems Engineering,Boeing,WA
B,Industrial & Systems Engineering,creativeLIVE,WA
B,Industrial & Systems Engineering,Exlar Corporation,MN
B,Industrial & Systems Engineering,Physio-Control,WA
B,Industrial & Systems Engineering,United Parcel Services,WA
M,Industrial & Systems Engineering,Amazon,PA
B,Materials Science & Engineering,Boeing,WA
B,Materials Science & Engineering,Boeing,WA
B,Materials Science & Engineering,PACCAR,WA
B,Materials Science & Engineering,University of Washington (Applied Physics Laboratory),WA
D,Materials Science & Engineering,Maxim Integrated,CA
D,Materials Science & Engineering,NIST,MD
D,Materials Science & Engineering,University of Washington,WA
M,Materials Science & Engineering,Boeing,WA
B,Mechanical Engineering,3M,IN
B,Mechanical Engineering,ATS Automation,WA
B,Mechanical Engineering,Boeing,WA
B,Mechanical Engineering,Boeing,WA
B,Mechanical Engineering,Boeing,WA
B,Mechanical Engineering,BP,TX
B,Mechanical Engineering,CH2M Hill,CO
B,Mechanical Engineering,Electroimpact,WA
B,Mechanical Engineering,"Engineering Economics, Inc.",WA
B,Mechanical Engineering,EOSPACE,WA
B,Mechanical Engineering,Georgia Pacific,OR
B,Mechanical Engineering,Goodyear Tire & Rubber Company,TX
B,Mechanical Engineering,Intel,WA
B,Mechanical Engineering,Intel,WA
B,Mechanical Engineering,Schlumberger,LA
B,Mechanical Engineering,Synapse Product Engineering,WA
B,Mechanical Engineering,T.E. Inc.,WA
B,Mechanical Engineering,Triumph Aerospace Systems,WA
D,Mechanical Engineering,Texas A&M University,TX
M,Mechanical Engineering,Alaska Ship & Drydock,AK
M,Mechanical Engineering,Endogastric Solutions,WA
M,Mechanical Engineering,NACCO Materials Handling Group,OR
M,Mechanical Engineering,Transparent Energy Systems Pvt. Ltd,India
M,Mechanical Engineering,Whooshh Innovations,WA
